stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0.5,7.0,21.081865999964066,,21.06678069999907,21.081865999964066,21.58203669998329,21.58203669998329,21.58203669998329,21.882065500016324,22.016296299989335,left,-7.0,1,1,0.42043550009839237,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
21,0.5,7.0,22.032066999934614,,22.016373899998143,22.032066999934614,22.51596230000723,22.51596230000723,22.53246230003424,22.815475399955176,22.95021539996378,left,-7.0,1,1,0.4252481999574229,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
22,0.5,6.5,22.965759100043215,,22.950324499979615,22.965759100043215,23.465258899959736,23.465258899959736,23.465258899959736,23.765242299996316,23.94945720001124,right,6.5,1,1,0.47890370001550764,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
23,0.5,6.5,23.965783799998462,,23.94954099995084,23.965783799998462,24.44875740003772,24.44875740003772,24.4652483999962,24.749026000034064,25.032592899980955,right,6.5,1,1,0.5789051000028849,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
24,0.5,6.5,25.048587099998258,,25.032670499989763,25.048587099998258,25.531944599933922,25.531944599933922,25.54882709996309,25.831782800029032,25.982294699992053,left,-6.5,1,1,0.4353343000402674,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
25,0.5,6.0,25.99836890003644,,25.982376200030558,25.99836890003644,26.48164779995568,26.48164779995568,26.4984567000065,,26.73288100003265,right,6.0,1,1,0.24766669992823154,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
26,0.5,6.0,26.748304200009443,,26.732967199990526,26.748304200009443,27.248396400013007,27.248396400013007,27.248396400013007,27.548213199945167,27.549352500005625,right,6.0,1,1,0.28850260004401207,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
27,0.5,6.0,27.565400999970734,,27.549434599932283,27.565400999970734,28.06493779993616,28.06493779993616,28.06493779993616,28.364636900019832,28.349244899931364,left,-6.0,0,0,0.27311740000732243,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
28,0.5,6.5,28.364636900019832,,28.34932369994931,28.364636900019832,28.86473799997475,28.86473799997475,28.86473799997475,29.164641799987294,29.21582959999796,left,-6.5,0,0,0.34818189998622984,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
29,0.5,7.0,29.23107290000189,,29.215907600009814,29.23107290000189,29.731366300024092,29.731366300024092,29.731366300024092,30.03133429994341,30.265469699981622,right,7.0,1,1,0.5283199000405148,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
30,0.5,7.0,30.28120399999898,,30.2655465999851,30.28120399999898,30.764615699998103,30.764615699998103,30.78102290001698,31.06441019999329,31.282117999973707,right,7.0,0,0,0.503173999954015,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
31,0.5,7.5,31.2983667999506,,31.282339800032787,31.2983667999506,31.798042600043118,31.798042600043118,31.798042600043118,32.09759729995858,32.86501069995575,right,7.5,1,1,1.0640730999875814,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
32,0.5,7.5,32.88049300003331,,32.865108099998906,32.88049300003331,33.38075170002412,33.38075170002412,33.38075170002412,33.680726299993694,33.74948170001153,left,-7.5,0,0,0.36314709996804595,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
33,0.5,8.0,33.76417009998113,,33.74956859997474,33.76417009998113,34.264188900007866,34.264188900007866,34.264188900007866,34.56399779999629,35.06584940000903,left,-8.0,1,1,0.8000180000672117,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
34,0.5,8.0,35.08142980001867,,35.06593989999965,35.08142980001867,35.580601699999534,35.580601699999534,35.580601699999534,35.88099490001332,35.94797049998306,right,8.0,1,1,0.35287639999296516,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
35,0.5,8.0,35.963529099943116,,35.94807469996158,35.963529099943116,36.44689959997777,36.44689959997777,36.46361320000142,36.74703920003958,36.931641299976036,right,8.0,1,1,0.48192320007365197,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
36,0.5,7.5,36.94689889997244,,36.93173149996437,36.94689889997244,37.44673750002403,37.44673750002403,37.44673750002403,37.746860899962485,37.86533830000553,right,7.5,1,1,0.4172266999958083,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
37,0.5,7.5,37.88054179993924,,37.865416100015864,37.88054179993924,38.380597200011835,38.380597200011835,38.380597200011835,38.679945999989286,38.91421199997421,left,-7.5,1,1,0.523250799975358,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
38,0.5,7.5,38.93010759993922,,38.91430099995341,38.93010759993922,39.43006879999302,39.43006879999302,39.43006879999302,39.73007219994906,39.83110209996812,left,-7.5,1,1,0.39026830007787794,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
39,0.5,7.0,39.8472379000159,,39.83118899993133,39.8472379000159,40.32974209997337,40.32974209997337,40.34727269993164,40.62973939999938,40.76473139994778,left,-7.0,0,0,0.4336491000140086,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
40,0.5,7.5,40.7798256999813,,40.76481399999466,40.7798256999813,41.28056089999154,41.28056089999154,41.28056089999154,41.57988820003811,41.86397920001764,left,-7.5,1,1,0.5684614999918267,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
41,0.5,7.5,41.879501799936406,,41.86405590001959,41.879501799936406,42.3795025999425,42.3795025999425,42.3795025999425,42.67957060004119,49.74609349993989,right,7.5,1,1,7.355148200062104,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
42,0.5,7.5,49.76238780003041,,49.74617339996621,49.76238780003041,50.24578300002031,50.24578300002031,50.26184559997637,50.5457422999898,50.77969260001555,left,-7.5,1,1,0.524216299992986,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
43,0.5,7.0,50.795683500007726,,50.77977539994754,50.795683500007726,51.295278599951416,51.295278599951416,51.295278599951416,51.594901800039224,51.77939849998802,left,-7.0,1,1,0.467079299967736,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
44,0.5,7.0,51.79511049995199,,51.779487999971025,51.79511049995199,52.29518579994328,52.29518579994328,52.29518579994328,52.59477389999665,52.629407300031744,right,7.0,0,0,0.3278323000995442,342646,001,2024-09-12_23h04.36.372,adaptive_staircase 222,2024.1.5,None,2024-09-12 23h04.42.409527 +0530,
